Trade.Agreement,HBTypeCode,Language,NorthSouth,Number,NumberMS,Sectoral,TypeDepth,TypeMemb,US_Partners,WTOListed,WTOTypeCode,Year,reg_africa,reg_americas,reg_asia,reg_europe,reg_intercontinental,reg_oceania,Nombre de normes,IAE,regioncon
392_EFTA Poland_1992,2.0,1.0,2,392,8.0,0.0,2.0,3.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,10,1,Europe
393_EFTA Romania_1992,2.0,1.0,2,393,8.0,0.0,2.0,3.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,5,1,Europe
394_EFTA Serbia_2009,,1.0,2,394,5.0,0.0,2.0,3.0,0,1.0,,2009,0.0,0.0,0.0,1.0,0.0,0.0,14,1,Europe
395_EFTA services_2001,,1.0,1,395,4.0,0.0,4.0,2.0,0,1.0,,2001,0.0,0.0,0.0,1.0,0.0,0.0,31,3,Europe
396_EFTA Singapore_2002,2.0,1.0,2,396,5.0,0.0,2.0,3.0,0,1.0,2,2002,0.0,0.0,1.0,1.0,1.0,0.0,17,3,Intercontinental
398_EFTA Slovenia_1995,2.0,1.0,2,398,5.0,0.0,2.0,3.0,0,1.0,2,1995,0.0,0.0,0.0,1.0,0.0,0.0,11,1,Europe
399_EFTA Southern African Customs Union (SACU)_2006,2.0,1.0,2,399,9.0,0.0,2.0,4.0,0,1.0,2,2006,1.0,0.0,0.0,1.0,1.0,0.0,19,2,Intercontinental
4_Agadir Agreement_2004,2.0,1.0,3,4,4.0,0.0,2.0,2.0,1,0.0,,2004,1.0,0.0,1.0,0.0,1.0,0.0,4,1,Intercontinental
40_Argentina Ecuador_1984,,2.0,3,40,2.0,0.0,1.0,1.0,0,0.0,,1984,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
400_EFTA Spain_1979,2.0,1.0,1,400,7.0,0.0,2.0,3.0,0,1.0,2,1979,0.0,0.0,0.0,1.0,0.0,0.0,2,1,Europe
401_EFTA Tunisia_2004,2.0,1.0,2,401,5.0,0.0,2.0,3.0,0,1.0,2,2004,1.0,0.0,0.0,1.0,1.0,0.0,20,2,Intercontinental
402_EFTA Turkey_1991,2.0,1.0,2,402,8.0,0.0,2.0,3.0,0,1.0,2,1991,0.0,0.0,1.0,1.0,1.0,0.0,7,1,Intercontinental
404_Egypt Jordan_1998,2.0,1.0,3,404,2.0,0.0,2.0,1.0,0,0.0,,1998,1.0,0.0,1.0,0.0,1.0,0.0,2,1,Intercontinental
405_Egypt Jordan_1996,,1.0,3,405,2.0,0.0,2.0,1.0,0,0.0,,1996,1.0,0.0,1.0,0.0,1.0,0.0,2,1,Intercontinental
406_Egypt Jordan _1967,,1.0,3,406,2.0,0.0,1.0,1.0,0,0.0,,1967,1.0,0.0,1.0,0.0,1.0,0.0,0,1,Intercontinental
41_Argentina Ecuador_1993,1.0,2.0,3,41,2.0,0.0,1.0,1.0,0,0.0,,1993,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
410_Egypt Morocco_1998,1.0,3.0,3,410,2.0,0.0,1.0,1.0,0,0.0,,1998,1.0,0.0,0.0,0.0,0.0,0.0,1,1,Africa
412_Egypt PLO_1998,,1.0,3,412,2.0,0.0,5.0,1.0,0,0.0,,1998,1.0,0.0,1.0,0.0,1.0,0.0,0,1,Intercontinental
413_Egypt Syria_1991,1.0,3.0,3,413,2.0,0.0,1.0,1.0,0,0.0,,1991,1.0,0.0,1.0,0.0,1.0,0.0,0,1,Intercontinental
415_Egypt Turkey_2005,2.0,1.0,3,415,2.0,0.0,2.0,1.0,0,1.0,2,2005,1.0,0.0,1.0,0.0,1.0,0.0,6,1,Intercontinental
416_El Salvador Honduras Taiwan_2007,2.0,1.0,3,416,3.0,0.0,2.0,2.0,1,1.0,2,2007,0.0,1.0,1.0,0.0,1.0,0.0,48,3,Intercontinental
417_El Salvador Mexico_1986,1.0,1.0,3,417,2.0,0.0,1.0,1.0,0,0.0,,1986,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
418_El Salvador Nicaragua Free Trade Area_1951,2.0,1.0,3,418,2.0,0.0,2.0,1.0,0,1.0,2,1951,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
419_El Salvador Panama_1970,1.0,1.0,3,419,2.0,0.0,1.0,1.0,0,0.0,,1970,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
421_El Salvador Venezuela_1986,1.0,1.0,3,421,2.0,0.0,1.0,1.0,0,0.0,,1986,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
422_Equatorial Customs Union_1959,3.0,1.0,3,422,4.0,0.0,3.0,2.0,0,0.0,,1959,1.0,0.0,0.0,0.0,0.0,0.0,0,1,Africa
422+1_Equatorial Customs Union Cameroon Accession_1961,3.0,1.0,3,422+1,5.0,0.0,2.0,3.0,0,1.0,2,1961,1.0,0.0,0.0,0.0,0.0,0.0,0,1,
424_Estonia Faroe Islands_1997,2.0,1.0,2,424,2.0,0.0,2.0,1.0,0,1.0,2,1997,0.0,0.0,0.0,1.0,0.0,0.0,5,1,Europe
425_Estonia Finland_1992,2.0,1.0,2,425,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,2,1,Europe
426_Estonia Hungary_1998,2.0,1.0,3,426,2.0,0.0,2.0,1.0,0,1.0,2,1998,0.0,0.0,0.0,1.0,0.0,0.0,7,1,Europe
427_Estonia Norway_1992,2.0,1.0,2,427,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,0,1,Europe
428_Estonia Slovakia_1996,2.0,1.0,3,428,2.0,0.0,2.0,1.0,0,1.0,2,1996,0.0,0.0,0.0,1.0,0.0,0.0,5,1,Europe
429_Estonia Slovenia_1996,2.0,1.0,3,429,2.0,0.0,2.0,1.0,0,1.0,2,1996,0.0,0.0,0.0,1.0,0.0,0.0,7,1,Europe
43_Argentina Mexico_1986,1.0,2.0,3,43,2.0,0.0,1.0,1.0,0,0.0,,1986,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
430_Estonia Sweden_1991,2.0,1.0,2,430,2.0,0.0,2.0,1.0,0,1.0,2,1991,0.0,0.0,0.0,1.0,0.0,0.0,0,1,Europe
431_Estonia Switzerland_1992,2.0,1.0,2,431,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
432_Estonia Turkey_1997,2.0,1.0,3,432,2.0,0.0,2.0,1.0,0,1.0,2,1997,0.0,0.0,1.0,1.0,1.0,0.0,3,1,Intercontinental
433_Estonia Ukraine_1995,2.0,1.0,3,433,2.0,0.0,2.0,1.0,0,1.0,2,1995,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
434_Eurasian Economic Community (EAEC)_1999,3.0,1.0,3,434,5.0,0.0,3.0,2.0,0,0.0,,1999,0.0,0.0,1.0,1.0,1.0,0.0,2,1,Intercontinental
436_European Coal and Steel Community_1951,1.0,4.0,1,436,6.0,0.0,1.0,2.0,0,0.0,,1951,0.0,0.0,0.0,1.0,0.0,0.0,0,1,Europe
437_European Economic Area (EEA)_1992,2.0,1.0,1,437,18.0,0.0,2.0,4.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,43,4,Europe
438_Faroe Islands Iceland_1992,2.0,1.0,1,438,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,3,1,Europe
439_Faroe Islands Iceland_2005,,1.0,2,439,2.0,0.0,2.0,1.0,0,1.0,2,2005,0.0,0.0,0.0,1.0,0.0,0.0,2,1,Europe
440_Faroe Islands Norway_1992,2.0,1.0,1,440,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
441_Faroe Islands Poland_1998,2.0,1.0,2,441,2.0,0.0,2.0,1.0,0,1.0,2,1998,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
443_Faroe Islands Switzerland_1992,2.0,1.0,1,443,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
445_EFTA Finland_1961,2.0,1.0,1,445,8.0,0.0,2.0,3.0,0,1.0,2,1961,0.0,0.0,0.0,1.0,0.0,0.0,2,1,Europe
446_Finland German Democratic Republic_1975,2.0,1.0,2,446,2.0,0.0,2.0,1.0,0,1.0,2,1975,0.0,0.0,0.0,1.0,0.0,0.0,2,1,Europe
447_Finland Hungary_1974,2.0,1.0,2,447,2.0,0.0,2.0,1.0,0,1.0,2,1974,0.0,0.0,0.0,1.0,0.0,0.0,2,1,Europe
448_Finland Latvia_1992,2.0,1.0,2,448,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
449_Finland Lithuania_1992,2.0,1.0,2,449,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,2,1,Europe
44a_Argentina Mexico_1989,,2.0,3,44a,2.0,0.0,1.0,1.0,0,0.0,,1989,0.0,1.0,0.0,0.0,0.0,0.0,0,1,
45_Argentina Paraguay_1989,1.0,2.0,3,45,2.0,0.0,1.0,1.0,0,0.0,,1989,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
450_Finland Poland_1976,2.0,1.0,2,450,2.0,0.0,2.0,1.0,0,1.0,2,1976,0.0,0.0,0.0,1.0,0.0,0.0,5,1,Europe
452_France Monaco_1963,,1.0,1,452,2.0,0.0,3.0,1.0,0,0.0,,1963,0.0,0.0,0.0,1.0,0.0,0.0,0,1,Europe
453_France Tunisia Customs Union Convention_1955,3.0,1.0,2,453,2.0,0.0,3.0,1.0,0,0.0,,1955,1.0,0.0,0.0,1.0,1.0,0.0,2,1,Intercontinental
454_Georgia Kazakhstan_1997,2.0,1.0,3,454,2.0,0.0,2.0,1.0,0,1.0,2,1997,0.0,0.0,1.0,0.0,1.0,0.0,3,1,Asia
455_Georgia Russia_1994,2.0,1.0,3,455,2.0,0.0,2.0,1.0,0,1.0,2,1994,0.0,0.0,1.0,1.0,1.0,0.0,4,1,Intercontinental
456_Georgia Turkey_2007,,1.0,3,456,2.0,0.0,2.0,1.0,0,1.0,2,2007,0.0,0.0,1.0,0.0,0.0,0.0,7,1,Asia
457_Georgia Turkmenistan_1996,2.0,1.0,3,457,2.0,0.0,2.0,1.0,0,1.0,2,1996,0.0,0.0,1.0,0.0,0.0,0.0,4,1,Asia
458_Georgia Ukraine_1995,2.0,1.0,3,458,2.0,0.0,2.0,1.0,0,1.0,2,1995,0.0,0.0,1.0,1.0,1.0,0.0,6,1,Intercontinental
46_Argentina Peru_1988,1.0,2.0,3,46,2.0,0.0,1.0,1.0,0,0.0,,1988,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
460_Ghana Upper Volta Trade Agreement_1961,3.0,1.0,3,460,2.0,0.0,3.0,1.0,0,1.0,2,1961,1.0,0.0,0.0,0.0,0.0,0.0,0,1,Africa
461_Global System of Trade Preferences (GSTP)_1988,,1.0,3,461,48.0,0.0,1.0,2.0,0,1.0,1,1988,1.0,1.0,1.0,1.0,1.0,0.0,1,1,Intercontinental
462_Greater Arab Free Trade Agreement_1997,2.0,1.0,3,462,18.0,0.0,2.0,2.0,0,1.0,2,1997,1.0,0.0,1.0,0.0,1.0,0.0,2,1,Intercontinental
464_Group of Three_1994,2.0,2.0,3,464,3.0,0.0,2.0,2.0,1,1.0,2,1994,0.0,1.0,0.0,0.0,0.0,0.0,37,3,Americas
464+1_Group of three_2011,2.0,2.0,3,464+1,2.0,0.0,,2.0,1,0.0,,2011,0.0,1.0,0.0,0.0,0.0,0.0,0,1,
465_Group of Three Auto Agreement_2004,1.0,1.0,3,465,3.0,1.0,1.0,2.0,1,0.0,,2004,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
466_GUAM GUUAM Organization for Democracy and Economic Development_2002,,1.0,3,466,4.0,0.0,2.0,2.0,0,0.0,,2002,0.0,0.0,1.0,1.0,1.0,0.0,7,1,Intercontinental
467_Guatemala Mexico_1984,1.0,1.0,3,467,2.0,0.0,1.0,1.0,0,0.0,,1984,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
468_Guatemala Mexico_1999,1.0,1.0,3,468,2.0,0.0,1.0,1.0,1,0.0,,1999,0.0,1.0,0.0,0.0,0.0,0.0,8,1,Americas
469_Guatemala Panama_1974,1.0,1.0,3,469,2.0,0.0,1.0,1.0,0,0.0,,1974,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
47_Argentina Uruguay_2003,1.0,2.0,3,47,2.0,0.0,1.0,1.0,0,0.0,,2003,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
470_Guatemala Taiwan_2005,2.0,1.0,3,470,2.0,0.0,2.0,1.0,1,0.0,,2005,0.0,1.0,1.0,0.0,1.0,0.0,46,4,Intercontinental
471_Guatemala Venezuela_1985,1.0,1.0,3,471,2.0,0.0,1.0,1.0,0,0.0,,1985,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
473_Gulf Cooperation Council (GCC)_1981,1.0,1.0,3,473,6.0,0.0,3.0,2.0,0,1.0,3,1981,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
474_Gulf Cooperation Council (GCC)_2001,3.0,1.0,3,474,6.0,0.0,3.0,2.0,0,1.0,3,2001,0.0,0.0,1.0,0.0,0.0,0.0,7,1,Asia
475_Gulf Cooperation Council (GCC) Singapore_2008,,1.0,3,475,7.0,0.0,2.0,3.0,1,0.0,,2008,0.0,1.0,0.0,0.0,0.0,0.0,14,1,Asia
476_Guyana Venezuela_1990,1.0,1.0,3,476,2.0,0.0,1.0,1.0,0,0.0,,1990,0.0,1.0,0.0,0.0,0.0,0.0,2,1,Americas
477_Honduras Mexico_1984,1.0,1.0,3,477,2.0,0.0,1.0,1.0,0,0.0,,1984,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
478_Honduras Panama_1973,1.0,1.0,3,478,2.0,0.0,1.0,1.0,0,0.0,,1973,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
48_Argentina Venezuela_1986,,2.0,3,48,2.0,0.0,1.0,1.0,0,0.0,,1986,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
480_Honduras Venezuela_1986,1.0,1.0,3,480,2.0,0.0,1.0,1.0,0,0.0,,1986,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
481_Hungary Israel_1997,2.0,1.0,3,481,2.0,0.0,2.0,1.0,1,1.0,2,1997,0.0,0.0,1.0,1.0,1.0,0.0,4,1,Intercontinental
482_Hungary Latvia_1999,2.0,1.0,3,482,2.0,0.0,2.0,1.0,0,1.0,2,1999,0.0,0.0,0.0,1.0,0.0,0.0,8,1,Europe
483_Hungary Lithuania_1998,2.0,1.0,3,483,2.0,0.0,2.0,1.0,0,1.0,2,1998,0.0,0.0,0.0,1.0,0.0,0.0,7,1,Europe
487_Hungary Slovenia_1994,2.0,1.0,3,487,2.0,0.0,2.0,1.0,0,1.0,2,1994,0.0,0.0,0.0,1.0,0.0,0.0,5,1,Europe
488_Hungary Turkey_1997,2.0,1.0,3,488,2.0,0.0,2.0,1.0,0,1.0,2,1997,0.0,0.0,1.0,1.0,1.0,0.0,1,1,Intercontinental
489_India Korea_2009,,1.0,3,489,2.0,0.0,2.0,1.0,1,1.0,2,2009,0.0,0.0,1.0,0.0,0.0,0.0,41,2,Asia
49_Argentina Venezuela_1992,,2.0,3,49,2.0,0.0,1.0,1.0,0,0.0,,1992,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
490_India MERCOSUR_2004,1.0,1.0,3,490,5.0,0.0,1.0,3.0,0,1.0,1,2004,0.0,1.0,1.0,0.0,1.0,0.0,5,1,Intercontinental
491_India Nepal_1991,1.0,1.0,3,491,2.0,0.0,1.0,1.0,0,0.0,,1991,0.0,0.0,1.0,0.0,0.0,0.0,2,1,Asia
492_India Nepal_2009,,1.0,3,492,2.0,0.0,1.0,1.0,0,1.0,1,2009,0.0,0.0,1.0,0.0,0.0,0.0,1,1,Asia
493_India Singapore_2005,1.0,1.0,3,493,2.0,0.0,2.0,1.0,1,1.0,2,2005,0.0,0.0,1.0,0.0,0.0,0.0,24,2,Asia
494_India Sri Lanka_1998,2.0,1.0,3,494,2.0,0.0,2.0,1.0,0,1.0,2,1998,0.0,0.0,1.0,0.0,0.0,0.0,1,1,Asia
495_Indonesia Japan_2007,,1.0,2,495,2.0,0.0,2.0,1.0,0,1.0,2,2007,0.0,0.0,1.0,0.0,0.0,0.0,28,2,Asia
496_Inter-Arab Trade Agreement_1981,,1.0,3,496,21.0,0.0,1.0,2.0,0,0.0,,1981,1.0,0.0,1.0,0.0,1.0,0.0,0,1,Intercontinental
497_Iran Pakistan_2004,,1.0,3,497,2.0,0.0,1.0,1.0,0,0.0,,2004,0.0,0.0,1.0,0.0,0.0,0.0,4,1,Asia
498_Iran Syria_2006,,1.0,3,498,2.0,0.0,1.0,1.0,0,0.0,,2006,0.0,0.0,1.0,0.0,0.0,0.0,2,1,Asia
5_Albania Bosnia and Herzegovina_2003,2.0,1.0,3,5,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,0.0,1.0,0.0,0.0,7,1,Europe
500_Iraq Jordan_1953,,1.0,3,500,2.0,0.0,1.0,1.0,0,0.0,,1953,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
504_Iraq UAE_1977,,1.0,3,504,2.0,0.0,2.0,1.0,0,0.0,,1977,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
505_Ireland UK Free Trade Area_1965,2.0,1.0,1,505,2.0,0.0,2.0,1.0,0,1.0,2,1965,0.0,0.0,0.0,1.0,0.0,0.0,1,1,Europe
506_Israel Jordan_1995,,1.0,3,506,2.0,0.0,1.0,1.0,1,0.0,,1995,0.0,0.0,1.0,0.0,0.0,0.0,2,1,Asia
508_Israel Mercosur_2007,,1.0,3,508,5.0,0.0,2.0,3.0,1,0.0,,2007,0.0,1.0,1.0,0.0,1.0,0.0,8,1,Intercontinental
509_Israel Mexico_2000,2.0,1.0,3,509,2.0,0.0,2.0,1.0,1,1.0,2,2000,0.0,1.0,1.0,0.0,1.0,0.0,11,1,Intercontinental
51_Armenia Estonia_2002,,1.0,3,51,2.0,0.0,1.0,1.0,0,0.0,,2002,0.0,0.0,1.0,1.0,1.0,0.0,4,1,Intercontinental
510_Israel PLO_1994,3.0,1.0,3,510,2.0,0.0,3.0,1.0,1,0.0,,1994,0.0,0.0,1.0,0.0,0.0,0.0,36,2,Asia
511_Israel Poland_1997,2.0,1.0,3,511,2.0,0.0,2.0,1.0,1,1.0,2,1997,0.0,0.0,1.0,1.0,1.0,0.0,6,1,Intercontinental
512_Israel Romania_2001,2.0,1.0,3,512,2.0,0.0,2.0,1.0,1,1.0,2,2001,0.0,0.0,1.0,1.0,1.0,0.0,6,1,Intercontinental
513_Israel Slovakia_1996,2.0,1.0,3,513,2.0,0.0,2.0,1.0,1,1.0,2,1996,0.0,0.0,1.0,1.0,1.0,0.0,4,1,Intercontinental
514_Israel Slovenia_1998,2.0,1.0,3,514,2.0,0.0,2.0,1.0,1,1.0,2,1998,0.0,0.0,1.0,1.0,1.0,0.0,6,1,Intercontinental
515_Israel Turkey_1996,2.0,1.0,3,515,2.0,0.0,2.0,1.0,1,1.0,2,1996,0.0,0.0,1.0,0.0,0.0,0.0,6,1,Asia
516_Israel US_1985,2.0,1.0,2,516,2.0,0.0,2.0,1.0,2,1.0,2,1985,0.0,1.0,1.0,0.0,1.0,0.0,3,1,Intercontinental
517_Japan Malaysia_2005,2.0,1.0,2,517,2.0,0.0,2.0,1.0,0,1.0,2,2005,0.0,0.0,1.0,0.0,0.0,0.0,35,2,Asia
518_Japan Mexico_2004,2.0,1.0,2,518,2.0,0.0,2.0,1.0,1,1.0,2,2004,0.0,1.0,1.0,0.0,1.0,0.0,29,2,Intercontinental
519_Japan Philippines_2006,,1.0,2,519,2.0,0.0,2.0,1.0,0,1.0,2,2006,0.0,0.0,1.0,0.0,0.0,0.0,26,2,Asia
52_Armenia Georgia_1995,2.0,1.0,3,52,2.0,0.0,2.0,1.0,0,1.0,2,1995,0.0,0.0,1.0,0.0,0.0,0.0,2,1,Asia
520_Japan Singapore_2002,2.0,1.0,2,520,2.0,0.0,2.0,1.0,0,1.0,2,2002,0.0,0.0,1.0,0.0,0.0,0.0,16,1,Asia
521_Japan Switzerland_2009,,1.0,1,521,2.0,0.0,2.0,1.0,0,1.0,2,2009,0.0,0.0,1.0,1.0,1.0,0.0,29,3,Intercontinental
522_Japan Thailand_2007,,1.0,2,522,2.0,0.0,2.0,1.0,0,1.0,2,2007,0.0,0.0,1.0,0.0,0.0,0.0,42,2,Asia
523_Japan Vietnam_2008,,1.0,2,523,2.0,0.0,2.0,1.0,1,1.0,2,2008,0.0,0.0,1.0,0.0,0.0,0.0,23,2,Asia
524_Jordan Kuwait_2001,2.0,4.0,3,524,2.0,0.0,2.0,1.0,1,0.0,,2001,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
525_Jordan Kuwait _1986,,1.0,3,525,2.0,0.0,2.0,1.0,0,0.0,,1986,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
526_Jordan Lebanon_1992,2.0,1.0,3,526,2.0,0.0,2.0,1.0,0,0.0,,1992,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
527_Jordan Lebanon_2002,,1.0,3,527,2.0,0.0,2.0,1.0,1,0.0,,2002,0.0,0.0,1.0,0.0,0.0,0.0,2,1,Asia
528_Jordan Libya_1992,,1.0,3,528,2.0,0.0,2.0,1.0,0,0.0,,1992,1.0,0.0,1.0,0.0,1.0,0.0,0,1,Intercontinental
529_Jordan Morocco_1994,,1.0,3,529,2.0,0.0,1.0,1.0,0,0.0,,1994,1.0,0.0,1.0,0.0,1.0,0.0,1,1,Intercontinental
53_Armenia Iran_1995,,1.0,3,53,2.0,0.0,1.0,1.0,0,0.0,,1995,0.0,0.0,1.0,0.0,0.0,0.0,1,1,Asia
530_Jordan Morocco_1998,2.0,1.0,3,530,2.0,0.0,2.0,1.0,0,0.0,,1998,1.0,0.0,0.0,0.0,0.0,0.0,1,1,Africa
531_Jordan PLO_1995,2.0,1.0,3,531,2.0,0.0,2.0,1.0,0,0.0,,1995,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
532_Jordan Qatar_1980,,1.0,3,532,2.0,0.0,1.0,1.0,0,0.0,,1980,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
533_Jordan Saudi Arabia_1962,,1.0,3,533,2.0,0.0,1.0,1.0,0,0.0,,1962,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
534_Jordan Singapore_2004,2.0,1.0,3,534,2.0,0.0,2.0,1.0,1,1.0,2,2004,0.0,0.0,1.0,0.0,0.0,0.0,10,1,Asia
535_Jordan Sudan_2003,2.0,4.0,3,535,2.0,0.0,2.0,1.0,1,0.0,,2003,1.0,0.0,1.0,0.0,1.0,0.0,0,1,Intercontinental
536_Jordan Sudan_1966,,1.0,3,536,2.0,0.0,1.0,1.0,0,0.0,,1966,1.0,0.0,1.0,0.0,1.0,0.0,0,1,Intercontinental
537_Jordan Syria_2001,2.0,1.0,3,537,2.0,0.0,2.0,1.0,1,0.0,,2001,0.0,0.0,1.0,0.0,0.0,0.0,2,1,Asia
538_Jordan Syria_1965,,1.0,3,538,2.0,0.0,1.0,1.0,0,0.0,,1965,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
539_Jordan Syria_1975,,1.0,3,539,2.0,0.0,1.0,1.0,0,0.0,,1975,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
54_Armenia Kazakhstan_1999,2.0,1.0,3,54,2.0,0.0,2.0,1.0,0,1.0,2,1999,0.0,0.0,1.0,0.0,0.0,0.0,6,1,Asia
540_Jordan Tunisia_1998,2.0,1.0,3,540,2.0,0.0,2.0,1.0,0,0.0,,1998,1.0,0.0,0.0,0.0,0.0,0.0,2,1,Africa
541_Jordan Turkey_2009,,1.0,3,541,2.0,0.0,2.0,1.0,1,1.0,,2009,1.0,0.0,1.0,0.0,1.0,0.0,6,1,Intercontinental
542_Jordan UAE_2000,2.0,1.0,3,542,2.0,0.0,2.0,1.0,1,0.0,,2000,0.0,0.0,1.0,0.0,0.0,0.0,1,1,Asia
543_Jordan US_2000,2.0,1.0,2,543,2.0,0.0,2.0,1.0,2,1.0,2,2000,0.0,1.0,1.0,0.0,1.0,0.0,32,3,Intercontinental
544_Kazakhstan Kyrgyzstan_1995,2.0,1.0,3,544,2.0,0.0,2.0,1.0,0,1.0,2,1995,0.0,0.0,1.0,0.0,0.0,0.0,3,1,Asia
548_Kazakhstan Ukraine_1994,2.0,1.0,3,548,2.0,0.0,2.0,1.0,0,1.0,2,1994,0.0,0.0,1.0,1.0,1.0,0.0,5,1,Intercontinental
55_Armenia Kyrgyzstan_1994,2.0,1.0,3,55,2.0,0.0,2.0,1.0,0,1.0,2,1994,0.0,0.0,1.0,0.0,0.0,0.0,3,1,Asia
550_Korea Singapore_2005,2.0,1.0,3,550,2.0,0.0,2.0,1.0,1,1.0,2,2005,0.0,0.0,1.0,0.0,0.0,0.0,24,2,Asia
551_Korea US_2007,,1.0,2,551,2.0,0.0,2.0,1.0,2,1.0,,2007,0.0,1.0,1.0,0.0,1.0,0.0,91,5,Intercontinental
554_Kuwait UAE_1972,,1.0,3,554,2.0,0.0,5.0,1.0,0,0.0,,1972,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
555_Kyrgyzstan Moldova_1995,2.0,1.0,3,555,2.0,0.0,2.0,1.0,0,1.0,2,1995,0.0,0.0,1.0,1.0,1.0,0.0,2,1,Intercontinental
556_Kyrgyzstan Russia_1992,2.0,1.0,3,556,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,1.0,1.0,1.0,0.0,4,1,Intercontinental
558_Kyrgyzstan Ukraine_1995,2.0,1.0,3,558,2.0,0.0,2.0,1.0,0,1.0,2,1995,0.0,0.0,1.0,1.0,1.0,0.0,3,1,Intercontinental
559_Kyrgyzstan Uzbekistan_1996,2.0,1.0,3,559,2.0,0.0,2.0,1.0,0,1.0,2,1996,0.0,0.0,1.0,0.0,0.0,0.0,6,1,Asia
56_Armenia Moldova_1993,2.0,1.0,3,56,2.0,0.0,2.0,1.0,0,1.0,2,1993,0.0,0.0,1.0,1.0,1.0,0.0,5,1,Intercontinental
560_Laos Thailand_1991,1.0,1.0,3,560,2.0,0.0,1.0,1.0,0,1.0,1,1991,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
561_Latin American Free Trade Area (LAFTA)_1960,1.0,1.0,3,561,7.0,0.0,1.0,2.0,0,1.0,2,1960,0.0,1.0,0.0,0.0,0.0,0.0,2,1,Americas
562_Latin American Integration Association (ALADI LAIA)_1980,1.0,1.0,3,562,11.0,0.0,1.0,2.0,0,1.0,1,1980,0.0,1.0,0.0,0.0,0.0,0.0,2,1,Americas
562+1_Latin American Integration Association Cuba accession_1998,4.0,1.0,3,562+1,12.0,0.0,1.0,5.0,1,0.0,,1998,0.0,1.0,0.0,0.0,0.0,0.0,0,1,
564_Latvia Norway_1992,2.0,1.0,2,564,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
565_Latvia Poland_1997,2.0,1.0,3,565,2.0,0.0,2.0,1.0,0,1.0,2,1997,0.0,0.0,0.0,1.0,0.0,0.0,5,1,Europe
